task,group,frequency,coretype
0,32,4,1
1,32,9,2
2,32,9,2
3,32,4,1
4,32,9,2
5,32,1,0
6,32,4,1
7,32,9,2
8,32,9,2
9,32,9,2
10,32,9,2
11,32,9,2
12,32,4,1
13,32,4,1
14,32,9,2
15,32,9,2
16,32,9,2
17,32,9,2
18,32,9,2
19,32,9,2
20,32,3,0
21,32,9,2
22,32,9,2
23,32,9,2
24,32,9,2
25,32,9,2
26,32,3,0
27,32,9,2
28,32,9,2
29,32,9,2
30,32,9,2
31,32,8,2
32,32,9,2
33,32,9,2
34,32,9,2
35,32,9,2
36,32,4,1
37,32,9,2
38,32,4,1
39,32,9,2
40,32,9,2
41,32,9,2
42,32,9,2
43,32,3,0
44,32,9,2
45,32,4,1
46,32,9,2
47,32,4,1
48,32,9,2
49,32,4,1
50,32,9,2
51,32,9,2
52,32,9,2
53,32,3,0
54,32,3,0
55,32,9,2
56,32,9,2
57,32,4,1
58,32,9,2
59,32,9,2
60,32,9,2
61,32,9,2
62,32,3,0
63,32,9,2
64,32,9,2
65,32,9,2
66,32,9,2
67,32,9,2
68,32,9,2
69,32,9,2
70,32,3,0
71,32,9,2
72,32,1,0
73,32,3,0
74,32,9,2
75,32,3,0
76,32,9,2
77,32,4,1
78,32,9,2
79,32,4,1
