taskset,optimization status,MIPGap
low_n10_1_biglittle,2,5.5013026288228054e-05
low_n10_2_biglittle,2,0.0
low_n10_3_biglittle,2,5.996421659746268e-06
low_n10_4_biglittle,2,0.0
low_n10_5_biglittle,2,5.93542364779954e-05
low_n10_6_biglittle,2,9.183810867089743e-06
low_n10_7_biglittle,2,5.225094500879438e-05
low_n10_8_biglittle,2,2.527759693623344e-06
low_n10_9_biglittle,2,0.0
low_n10_10_biglittle,2,0.0
low_n20_1_biglittle,2,2.9453295242089173e-05
low_n20_2_biglittle,2,6.893191210077042e-05
low_n20_3_biglittle,2,0.0
low_n20_4_biglittle,2,3.6795370094070726e-06
low_n20_5_biglittle,2,0.0
low_n20_6_biglittle,2,0.0
low_n20_7_biglittle,2,0.0
low_n20_8_biglittle,2,3.4548024102527274e-05
low_n20_9_biglittle,2,1.1745684689814934e-06
low_n20_10_biglittle,2,0.0
low_n40_1_biglittle,2,7.917505349762307e-08
low_n40_2_biglittle,2,0.0
low_n40_3_biglittle,2,8.582981893637774e-06
low_n40_4_biglittle,2,2.758546845911383e-05
low_n40_5_biglittle,2,5.526663726242646e-05
low_n40_6_biglittle,2,2.8787307228321757e-05
low_n40_7_biglittle,2,0.0
low_n40_8_biglittle,2,4.9601722523888404e-05
low_n40_9_biglittle,2,0.0
low_n40_10_biglittle,2,0.0
low_n80_1_biglittle,2,4.6837204361580046e-05
low_n80_2_biglittle,2,6.635750346265748e-05
low_n80_3_biglittle,2,2.887276264771984e-05
low_n80_4_biglittle,2,8.085701737168473e-05
low_n80_5_biglittle,2,6.923567721058531e-05
low_n80_6_biglittle,2,7.24955289653515e-05
low_n80_7_biglittle,2,4.080754383121826e-05
low_n80_8_biglittle,9,0.001279229351525822
low_n80_9_biglittle,2,2.0643342042919418e-05
low_n80_10_biglittle,2,3.924215375572413e-05
