taskset,deadline,max. chip size,actual chip size,#big,#little,#a72,energy_consumption,objective function value
low_n10_1_biglittle,14.196428571428571,91.2,57.43,0.0,1.0,1.0,28.085988761904762,28.085988761904762
low_n10_2_biglittle,18.571428571428573,91.2,84.03,1.0,3.0,1.0,97.22246242857143,97.22246242857143
low_n10_3_biglittle,19.46428571428571,91.2,76.43,1.0,1.0,1.0,63.808506527472524,63.808506527472524
low_n10_4_biglittle,15.98214285714286,91.2,72.63,1.0,-0.0,1.0,39.94069765934066,39.94069765934066
low_n10_5_biglittle,17.767857142857142,91.2,76.43,1.0,1.0,1.0,63.932131593406595,63.932131593406595
low_n10_6_biglittle,16.07142857142857,91.2,61.230000000000004,-0.0,2.0,1.0,45.82677876923077,45.82677876923077
low_n10_7_biglittle,19.375000000000004,91.2,76.43,1.0,1.0,1.0,71.85000708791209,71.85000708791209
low_n10_8_biglittle,11.696428571428571,91.2,72.63,-0.0,5.0,1.0,68.72262666445182,68.72262666445182
low_n10_9_biglittle,15.803571428571429,91.2,87.83000000000001,1.0,4.0,1.0,94.68611552380952,94.68611552380952
low_n10_10_biglittle,17.142857142857142,91.2,76.43,1.0,1.0,1.0,66.3314823095238,66.3314823095238
low_n20_1_biglittle,32.5,91.2,76.43,1.0,1.0,1.0,105.56826690476191,105.56826690476191
low_n20_2_biglittle,28.125,91.2,80.23,1.0,2.0,1.0,120.06892382783883,120.06892382783883
low_n20_3_biglittle,34.19642857142857,91.2,76.43,1.0,1.0,1.0,109.97317109523809,109.97317109523809
low_n20_4_biglittle,31.16071428571429,91.2,61.230000000000004,0.0,2.0,1.0,90.96641366666667,90.96641366666667
low_n20_5_biglittle,29.464285714285715,91.2,76.43,1.0,1.0,1.0,105.01006685714287,105.01006685714287
low_n20_6_biglittle,30.35714285714286,91.2,65.03,0.0,3.0,1.0,122.97607523809525,122.97607523809525
low_n20_7_biglittle,33.482142857142854,91.2,61.230000000000004,-0.0,2.0,1.0,100.45968861904761,100.45968861904761
low_n20_8_biglittle,29.821428571428573,91.2,65.03,0.0,3.0,1.0,118.2901361904762,118.2901361904762
low_n20_9_biglittle,34.55357142857143,91.2,76.43,1.0,1.0,1.0,115.69988423076923,115.69988423076923
low_n20_10_biglittle,32.94642857142858,91.2,80.23,1.0,2.0,1.0,144.42532871428574,144.42532871428574
low_n40_1_biglittle,67.05357142857143,91.2,61.230000000000004,0.0,2.0,1.0,209.35917895697656,209.35917895697656
low_n40_2_biglittle,61.25,91.2,76.43,1.0,1.0,1.0,210.89773811904763,210.89773811904763
low_n40_3_biglittle,68.92857142857143,91.2,65.03,0.0,3.0,1.0,275.8464236483517,275.8464236483517
low_n40_4_biglittle,56.07142857142858,91.2,65.03,0.0,3.0,1.0,219.41752914285718,219.41752914285718
low_n40_5_biglittle,59.82142857142858,91.2,65.03,0.0,3.0,1.0,232.56724419047617,232.56724419047617
low_n40_6_biglittle,75.08928571428572,91.2,61.230000000000004,-0.0,2.0,1.0,217.61672508967098,217.61672508967098
low_n40_7_biglittle,71.16071428571429,91.2,76.43,1.0,1.0,1.0,239.68879109523812,239.68879109523812
low_n40_8_biglittle,60.35714285714286,91.2,76.43,1.0,1.0,1.0,205.69994164285714,205.69994164285714
low_n40_9_biglittle,57.41071428571429,91.2,76.43,1.0,1.0,1.0,201.12749309523812,201.12749309523812
low_n40_10_biglittle,61.16071428571429,91.2,76.43,1.0,1.0,1.0,215.0339532857143,215.0339532857143
low_n80_1_biglittle,115.89285714285715,91.2,76.43,1.0,1.0,1.0,415.2361653333334,415.2361653333334
low_n80_2_biglittle,144.9107142857143,91.2,76.43,1.0,1.0,1.0,494.35647059454266,494.35647059454266
low_n80_3_biglittle,138.125,91.2,76.43,1.0,1.0,1.0,465.163825047619,465.163825047619
low_n80_4_biglittle,117.5,91.2,76.43,1.0,1.0,1.0,407.566858503033,407.566858503033
low_n80_5_biglittle,114.91071428571428,91.2,76.43,1.0,1.0,1.0,387.5309639285714,387.5309639285714
low_n80_6_biglittle,135.17857142857144,91.2,65.03,-0.0,3.0,1.0,530.6724594285715,530.6724594285715
low_n80_7_biglittle,111.51785714285715,91.2,76.43,1.0,1.0,1.0,383.76123923809524,383.76123923809524
low_n80_8_biglittle,133.48214285714286,91.2,80.23,1.0,2.0,1.0,606.8604760000001,606.8604760000001
low_n80_9_biglittle,121.60714285714286,91.2,65.03,0.0,3.0,1.0,471.40069152380954,471.40069152380954
low_n80_10_biglittle,138.75,91.2,76.43,1.0,1.0,1.0,472.4341443809524,472.4341443809524
