id,workload,max_width,tasktype
0,13.0,4,MEMORY
1,38.0,2,FMULT
2,29.0,4,MATMUL
3,29.0,4,SIMD
4,34.0,4,FMULT
5,16.0,4,MEMORY
6,9.0,4,MATMUL
7,23.0,4,FMULT
8,12.0,4,MEMORY
9,24.0,2,MEMORY
10,1.0,1,BRANCH
11,27.0,2,MEMORY
12,5.0,1,BRANCH
13,18.0,4,FMULT
14,1.0,4,SIMD
15,14.0,4,MATMUL
16,8.0,4,MATMUL
17,27.0,4,SIMD
18,8.0,1,BRANCH
19,24.0,2,FMULT
20,5.0,1,BRANCH
21,11.0,2,MEMORY
22,3.0,4,SIMD
23,14.0,4,MEMORY
24,9.0,1,BRANCH
25,15.0,2,FMULT
26,12.0,2,MEMORY
27,18.0,4,SIMD
28,5.0,1,BRANCH
29,7.0,1,BRANCH
30,6.0,1,BRANCH
31,13.0,4,MATMUL
32,3.0,1,BRANCH
33,7.0,1,BRANCH
34,4.0,1,BRANCH
35,17.0,2,FMULT
36,2.0,1,BRANCH
37,22.0,2,FMULT
38,22.0,4,FMULT
39,2.0,1,BRANCH
40,13.0,4,MATMUL
41,8.0,1,BRANCH
42,23.0,2,FMULT
43,36.0,2,FMULT
44,20.0,4,MEMORY
45,21.0,4,SIMD
46,16.0,4,MATMUL
47,11.0,4,MATMUL
48,34.0,4,MATMUL
49,6.0,1,BRANCH
50,6.0,4,MATMUL
51,24.0,4,SIMD
52,27.0,2,FMULT
53,27.0,4,MATMUL
54,22.0,2,MEMORY
55,20.0,4,MATMUL
56,37.0,4,SIMD
57,20.0,2,FMULT
58,3.0,1,BRANCH
59,6.0,1,BRANCH
60,14.0,2,MEMORY
61,12.0,2,MEMORY
62,15.0,2,FMULT
63,15.0,4,MATMUL
64,19.0,4,SIMD
65,19.0,4,MATMUL
66,15.0,4,SIMD
67,6.0,1,BRANCH
68,2.0,1,BRANCH
69,9.0,1,BRANCH
70,20.0,4,MATMUL
71,26.0,2,MEMORY
72,18.0,4,SIMD
73,15.0,4,MATMUL
74,20.0,4,MATMUL
75,6.0,1,BRANCH
76,17.0,4,SIMD
77,23.0,4,MATMUL
78,35.0,4,MEMORY
79,6.0,1,BRANCH
