task,group,frequency
26,7,2
2,8,4
4,8,4
9,8,3
10,8,4
14,8,4
15,8,4
17,8,4
19,8,3
20,8,4
23,8,3
24,8,4
30,8,4
32,8,3
33,8,4
34,8,3
35,8,4
38,8,3
43,8,3
46,8,4
58,8,3
59,8,3
64,8,4
72,8,4
79,8,3
1,9,4
3,9,3
12,9,4
16,9,4
22,9,3
29,9,4
31,9,3
42,9,4
47,9,3
49,9,4
50,9,3
52,9,4
56,9,3
63,9,3
66,9,3
68,9,4
70,9,4
73,9,4
75,9,4
78,9,4
5,13,4
25,13,4
28,13,4
37,13,4
41,13,4
55,13,4
57,13,4
60,13,4
62,13,4
69,13,4
76,13,4
77,13,4
7,14,4
8,14,4
11,14,4
18,14,4
27,14,4
40,14,4
51,14,4
53,14,4
61,14,4
65,14,4
0,15,4
6,15,4
13,15,4
21,15,4
36,15,4
39,15,4
44,15,4
45,15,4
48,15,4
54,15,4
67,15,4
71,15,4
74,15,4
