taskset,optimization status,MIPGap
low_n10_1_biglittle,2,0.0
low_n10_2_biglittle,2,0.0
low_n10_3_biglittle,2,0.0
low_n10_4_biglittle,2,0.0
low_n10_5_biglittle,2,0.0
low_n10_6_biglittle,2,0.0
low_n10_7_biglittle,2,0.0
low_n10_8_biglittle,2,0.0
low_n10_9_biglittle,2,0.0
low_n10_10_biglittle,2,3.7331868142018944e-11
low_n20_1_biglittle,2,9.68035947520341e-05
low_n20_2_biglittle,2,0.0
low_n20_3_biglittle,2,0.0
low_n20_4_biglittle,2,0.0
low_n20_5_biglittle,2,0.0
low_n20_6_biglittle,2,0.0
low_n20_7_biglittle,2,0.0
low_n20_8_biglittle,2,9.81669660420653e-05
low_n20_9_biglittle,2,7.310464229489283e-05
low_n20_10_biglittle,2,0.0
low_n40_1_biglittle,9,0.00048661589465752783
low_n40_2_biglittle,9,0.0014916605386066327
low_n40_3_biglittle,9,0.0020350694059191933
low_n40_4_biglittle,9,0.0005624445425273069
low_n40_5_biglittle,9,0.0005799978650846314
low_n40_6_biglittle,2,3.4284355597265683e-06
low_n40_7_biglittle,9,0.000150320522102066
low_n40_8_biglittle,2,0.0
low_n40_9_biglittle,9,0.004651507409723173
low_n40_10_biglittle,9,0.0029796230418192076
low_n80_1_biglittle,9,0.0002621138590917616
low_n80_2_biglittle,9,0.0005541111136041677
low_n80_3_biglittle,9,0.0019955769805618923
low_n80_4_biglittle,9,0.001802774314536937
low_n80_5_biglittle,9,0.00038749822977118207
low_n80_6_biglittle,9,0.0008502255875157768
low_n80_7_biglittle,9,0.0005049373231619597
low_n80_8_biglittle,9,0.0004420497832218916
low_n80_9_biglittle,9,0.00022329381450677125
low_n80_10_biglittle,9,0.0007868638511432681
