task,group,frequency
2,55,2
12,55,2
17,55,4
26,55,4
35,55,4
40,55,4
49,55,4
52,55,2
55,55,4
64,55,4
0,56,2
4,56,4
8,56,4
36,56,4
39,56,4
77,56,4
79,56,4
1,57,2
42,57,2
46,57,4
47,57,2
53,57,4
54,57,4
58,57,4
66,57,4
67,57,4
70,57,2
11,58,4
13,58,2
23,58,4
27,58,4
38,58,2
43,58,4
48,58,4
57,58,4
72,58,2
75,58,2
3,59,2
9,59,4
14,59,4
16,59,4
25,59,2
31,59,4
68,59,4
78,59,2
5,60,4
7,60,4
20,60,4
24,60,4
34,60,2
41,60,4
62,60,2
65,60,4
73,60,4
74,60,4
6,61,4
15,61,4
21,61,4
22,61,2
29,61,4
59,61,4
60,61,4
71,61,4
10,62,2
19,62,4
33,62,4
44,62,2
51,62,4
69,62,4
76,62,4
18,63,4
28,63,4
30,63,2
32,63,4
37,63,4
45,63,4
50,63,4
56,63,4
61,63,4
63,63,4
