taskset,optimization status,MIPGap
low_n10_1_biglittle,2,0.0
low_n10_1_biglittle,2,0.0
low_n10_1_biglittle,2,0.0
low_n10_1_biglittle,2,0.0
low_n10_1_biglittle,2,4.354621614595637e-11
low_n10_1_biglittle,2,0.0
low_n10_1_biglittle,2,0.0
low_n10_1_biglittle,2,0.0
low_n10_1_biglittle,2,0.0
low_n10_1_biglittle,2,0.0
low_n10_1_biglittle,2,0.0
low_n10_1_biglittle,2,0.0
low_n10_1_biglittle,2,0.0
low_n10_1_biglittle,2,0.0
low_n10_1_biglittle,2,0.0
low_n10_1_biglittle,3,1e+100
low_n10_1_biglittle,3,1e+100
low_n10_1_biglittle,3,1e+100
low_n10_1_biglittle,3,1e+100
low_n10_1_biglittle,3,1e+100
low_n10_1_biglittle,3,1e+100
low_n20_1_biglittle,2,9.68035947520341e-05
low_n20_1_biglittle,2,9.68035947520341e-05
low_n20_1_biglittle,2,9.680359475167635e-05
low_n20_1_biglittle,2,9.680359475167635e-05
low_n20_1_biglittle,2,9.680359486132894e-05
low_n20_1_biglittle,2,9.680359475185522e-05
low_n20_1_biglittle,2,9.68035947520341e-05
low_n20_1_biglittle,2,9.68035947520341e-05
low_n20_1_biglittle,2,9.680359511426332e-05
low_n20_1_biglittle,2,0.0
low_n20_1_biglittle,2,0.0
low_n20_1_biglittle,2,0.0
low_n20_1_biglittle,2,0.0
low_n20_1_biglittle,2,7.950431755996083e-09
low_n20_1_biglittle,2,0.0
low_n20_1_biglittle,9,0.0008025300221683225
low_n20_1_biglittle,3,1e+100
low_n20_1_biglittle,3,1e+100
low_n20_1_biglittle,3,1e+100
low_n20_1_biglittle,3,1e+100
low_n20_1_biglittle,3,1e+100
low_n40_1_biglittle,2,9.839679416641457e-05
low_n40_1_biglittle,2,9.088830065596337e-09
low_n40_1_biglittle,2,0.0
low_n40_1_biglittle,9,0.001179243435381538
low_n40_1_biglittle,2,2.3428859030714367e-05
low_n40_1_biglittle,9,0.000486615896850563
low_n40_1_biglittle,9,0.000486615895230724
low_n40_1_biglittle,2,2.3428859030714367e-05
low_n40_1_biglittle,9,0.0004866159030524815
low_n40_1_biglittle,2,5.837344344418795e-05
low_n40_1_biglittle,2,2.342886002428347e-05
low_n40_1_biglittle,2,9.802177182787489e-05
low_n40_1_biglittle,2,7.424776423365681e-05
low_n40_1_biglittle,2,8.774893094810234e-05
low_n40_1_biglittle,2,6.979850010897349e-05
low_n40_1_biglittle,9,0.000568093406398723
low_n40_1_biglittle,3,1e+100
low_n40_1_biglittle,3,1e+100
low_n40_1_biglittle,3,1e+100
low_n40_1_biglittle,3,1e+100
low_n40_1_biglittle,3,1e+100
low_n80_1_biglittle,2,7.759158538717311e-05
low_n80_1_biglittle,9,0.00022019292990841562
low_n80_1_biglittle,9,0.00026211385909159736
low_n80_1_biglittle,2,6.720663080661547e-05
low_n80_1_biglittle,2,7.75915853873374e-05
low_n80_1_biglittle,9,0.00026211385942080277
low_n80_1_biglittle,9,0.0002621138595944406
low_n80_1_biglittle,9,0.00026211385962860963
low_n80_1_biglittle,9,0.0002621138600038119
low_n80_1_biglittle,9,0.00026211385972421723
low_n80_1_biglittle,9,0.00026211385922449517
low_n80_1_biglittle,2,7.22284209038102e-05
low_n80_1_biglittle,2,7.759158538700884e-05
low_n80_1_biglittle,2,7.22284209038102e-05
low_n80_1_biglittle,2,8.015804300899319e-05
low_n80_1_biglittle,9,0.00012354283135690333
low_n80_1_biglittle,3,1e+100
low_n80_1_biglittle,3,1e+100
low_n80_1_biglittle,3,1e+100
low_n80_1_biglittle,3,1e+100
low_n80_1_biglittle,3,1e+100
