taskset,deadline,max. chip size,actual chip size,#big,#little,energy_consumption,objective function value
low_n10_1_biglittle,14.196428571428571,91.2,45.6,2.0,2.0,62.19837678571429,62.19837678571429
low_n10_1_biglittle,14.196428571428571,87.4,45.6,2.0,2.0,62.19837678571429,62.19837678571429
low_n10_1_biglittle,14.196428571428571,83.6,45.6,2.0,2.0,62.19837678571429,62.19837678571429
low_n10_1_biglittle,14.196428571428571,79.8,45.6,2.0,2.0,62.19837665052104,62.19837665052104
low_n10_1_biglittle,14.196428571428571,76.0,45.59999729187703,2.0,1.999999287336062,62.19836953252063,62.19836953252063
low_n10_1_biglittle,14.196428571428571,72.2,45.6,2.0,2.0,62.19837678571429,62.19837678571429
low_n10_1_biglittle,14.196428571428571,68.4,45.6,2.0,2.0,62.19837678571429,62.19837678571429
low_n10_1_biglittle,14.196428571428571,64.6,45.6,2.0,2.0,62.19837678571429,62.19837678571429
low_n10_1_biglittle,14.196428571428571,60.8,45.6,2.0,2.0,62.19837678571429,62.19837678571429
low_n10_1_biglittle,14.196428571428571,57.0,45.6,2.0,2.0,62.19837678571429,62.19837678571429
low_n10_1_biglittle,14.196428571428571,53.2,45.6,2.0,2.0,62.19837678571429,62.19837678571429
low_n10_1_biglittle,14.196428571428571,49.4,45.6,2.0,2.0,62.19837678571429,62.19837678571429
low_n10_1_biglittle,14.196428571428571,45.6,45.6,2.0,2.0,62.19837678571429,62.19837678571429
low_n10_1_biglittle,14.196428571428571,41.8,38.0,1.0,5.0,80.28221106397052,80.28221106397052
low_n10_1_biglittle,14.196428571428571,38.0,38.0,1.0,5.0,80.28221111111111,80.28221111111111
low_n10_1_biglittle,14.196428571428571,34.2,
low_n10_1_biglittle,14.196428571428571,30.4,
low_n10_1_biglittle,14.196428571428571,26.6,
low_n10_1_biglittle,14.196428571428571,22.8,
low_n10_1_biglittle,14.196428571428571,19.0,
low_n10_1_biglittle,14.196428571428571,15.2,
low_n20_1_biglittle,32.5,91.2,60.8,3.0,1.0,158.8882357142857,158.8882357142857
low_n20_1_biglittle,32.5,87.4,60.8,3.0,1.0,158.8882357142857,158.8882357142857
low_n20_1_biglittle,32.5,83.6,60.8,3.0,1.0,158.88823571428568,158.88823571428568
low_n20_1_biglittle,32.5,79.8,60.8,3.0,1.0,158.88823571428568,158.88823571428568
low_n20_1_biglittle,32.5,76.0,60.8,3.0,1.0,158.8882357142857,158.8882357142857
low_n20_1_biglittle,32.5,72.2,60.8,3.0,1.0,158.8882357142857,158.8882357142857
low_n20_1_biglittle,32.5,68.4,60.8,3.0,1.0,158.8882357142857,158.8882357142857
low_n20_1_biglittle,32.5,64.6,60.8,3.0,1.0,158.8882357142857,158.8882357142857
low_n20_1_biglittle,32.5,60.8,60.8,3.0,1.0,158.8882357142857,158.8882357142857
low_n20_1_biglittle,32.5,57.0,45.6,2.0,2.0,162.1698337383325,162.1698337383325
low_n20_1_biglittle,32.5,53.2,45.6,2.0,2.0,162.16983738389396,162.16983738389396
low_n20_1_biglittle,32.5,49.4,45.6,2.0,2.0,162.16983750000003,162.16983750000003
low_n20_1_biglittle,32.5,45.6,45.6,2.0,2.0,162.16983750000003,162.16983750000003
low_n20_1_biglittle,32.5,41.8,38.0,1.0,5.0,184.82752857142862,184.82752857142862
low_n20_1_biglittle,32.5,38.0,38.0,1.0,5.0,184.82752857142862,184.82752857142862
low_n20_1_biglittle,32.5,34.2,34.199999999999996,0.0,9.0,244.14678571428573,244.14678571428573
low_n20_1_biglittle,32.5,30.4,
low_n20_1_biglittle,32.5,26.6,
low_n20_1_biglittle,32.5,22.8,
low_n20_1_biglittle,32.5,19.0,
low_n20_1_biglittle,32.5,15.2,
low_n40_1_biglittle,67.05357142857143,91.2,49.4,2.0,3.0,390.92507916666665,390.92507916666665
low_n40_1_biglittle,67.05357142857143,87.4,49.4,2.0,3.0,390.92507916666665,390.92507916666665
low_n40_1_biglittle,67.05357142857143,83.6,49.4,2.0,3.0,390.92507916666665,390.92507916666665
low_n40_1_biglittle,67.05357142857143,79.8,49.4,2.0,3.0,390.92507916666665,390.92507916666665
low_n40_1_biglittle,67.05357142857143,76.0,49.4,2.0,3.0,390.92507916666665,390.92507916666665
low_n40_1_biglittle,67.05357142857143,72.2,49.4,2.0,3.0,390.92507916666665,390.92507916666665
low_n40_1_biglittle,67.05357142857143,68.4,49.4,2.0,3.0,390.92507916666665,390.92507916666665
low_n40_1_biglittle,67.05357142857143,64.6,49.4,2.0,3.0,390.92507916666665,390.92507916666665
low_n40_1_biglittle,67.05357142857143,60.8,49.4,2.0,3.0,390.92507916666665,390.92507916666665
low_n40_1_biglittle,67.05357142857143,57.0,49.4,2.0,3.0,390.92507916666665,390.92507916666665
low_n40_1_biglittle,67.05357142857143,53.2,49.4,2.0,3.0,390.92507916666665,390.92507916666665
low_n40_1_biglittle,67.05357142857143,49.4,49.4,2.0,3.0,390.92507916666665,390.92507916666665
low_n40_1_biglittle,67.05357142857143,45.6,38.0,1.0,5.0,397.38631843853824,397.38631843853824
low_n40_1_biglittle,67.05357142857143,41.8,38.0,1.0,5.0,397.3863184385382,397.3863184385382
low_n40_1_biglittle,67.05357142857143,38.0,38.0,1.0,5.0,397.38631843853824,397.38631843853824
low_n40_1_biglittle,67.05357142857143,34.2,34.199999999999996,0.0,9.0,512.6341964285714,512.6341964285714
low_n40_1_biglittle,67.05357142857143,30.4,
low_n40_1_biglittle,67.05357142857143,26.6,
low_n40_1_biglittle,67.05357142857143,22.8,
low_n40_1_biglittle,67.05357142857143,19.0,
low_n40_1_biglittle,67.05357142857143,15.2,
low_n80_1_biglittle,115.89285714285715,91.2,38.0,1.0,5.0,692.0554375,692.0554375
low_n80_1_biglittle,115.89285714285715,87.4,38.0,1.0,5.0,692.0554375,692.0554375
low_n80_1_biglittle,115.89285714285715,83.6,38.0,1.0,5.0,692.0554375,692.0554375
low_n80_1_biglittle,115.89285714285715,79.8,38.0,1.0,5.0,692.0554375,692.0554375
low_n80_1_biglittle,115.89285714285715,76.0,38.0,1.0,5.0,692.0554375,692.0554375
low_n80_1_biglittle,115.89285714285715,72.2,38.0,1.0,5.0,692.0554375000002,692.0554375000002
low_n80_1_biglittle,115.89285714285715,68.4,38.0,1.0,5.0,692.0554375,692.0554375
low_n80_1_biglittle,115.89285714285715,64.6,38.0,1.0,5.0,692.0554375,692.0554375
