id,workload,max_width,tasktype
0,33.0,4,SIMD
1,19.0,4,MATMUL
2,1.0,1,BRANCH
3,16.0,4,SIMD
4,5.0,1,BRANCH
5,15.0,4,MATMUL
6,32.0,4,MATMUL
7,10.0,1,BRANCH
8,11.0,4,MATMUL
9,29.0,4,MATMUL
10,29.0,4,SIMD
11,6.0,2,MEMORY
12,20.0,4,SIMD
13,25.0,4,SIMD
14,9.0,4,FMULT
15,18.0,4,MATMUL
16,9.0,2,FMULT
17,3.0,1,BRANCH
18,4.0,1,BRANCH
19,20.0,4,MATMUL
20,26.0,4,MATMUL
21,16.0,4,FMULT
22,20.0,4,SIMD
23,17.0,4,MEMORY
24,4.0,1,BRANCH
25,22.0,4,SIMD
26,12.0,1,BRANCH
27,5.0,1,BRANCH
28,28.0,2,FMULT
29,18.0,2,FMULT
30,38.0,4,SIMD
31,18.0,4,MEMORY
32,4.0,1,BRANCH
33,20.0,4,MEMORY
34,13.0,4,MATMUL
35,15.0,2,MEMORY
36,34.0,4,MEMORY
37,17.0,4,MEMORY
38,16.0,4,SIMD
39,24.0,2,MEMORY
40,6.0,1,BRANCH
41,27.0,2,FMULT
42,14.0,4,SIMD
43,10.0,1,BRANCH
44,21.0,4,SIMD
45,17.0,4,MATMUL
46,24.0,4,MATMUL
47,6.0,4,SIMD
48,21.0,4,MEMORY
49,22.0,4,MEMORY
50,8.0,1,BRANCH
51,12.0,4,MATMUL
52,27.0,4,SIMD
53,11.0,1,BRANCH
54,7.0,1,BRANCH
55,29.0,2,MEMORY
56,22.0,4,MATMUL
57,15.0,4,MATMUL
58,17.0,4,MEMORY
59,15.0,2,FMULT
60,13.0,2,FMULT
61,5.0,1,BRANCH
62,25.0,4,SIMD
63,4.0,1,BRANCH
64,8.0,4,MEMORY
65,6.0,1,BRANCH
66,11.0,2,FMULT
67,11.0,4,MATMUL
68,20.0,2,MEMORY
69,19.0,4,MATMUL
70,19.0,4,SIMD
71,22.0,4,MATMUL
72,4.0,4,SIMD
73,14.0,4,MATMUL
74,7.0,1,BRANCH
75,18.0,4,SIMD
76,21.0,4,MEMORY
77,10.0,1,BRANCH
78,17.0,4,SIMD
79,32.0,4,FMULT
